
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-06-17;46.574,95;7816218039242;48.803,48;8085814778638;44.711,51;11691202839757;48.343,11;2652975577610;74.710,75;1085053262145;44.734,33;6022102331203;49.114,35;52506946021
2020-06-18;46.748,33;7844818691151;48.944,83;8111377857101;44.886,07;11734398194713;48.517,62;2663062599964;74.965,74;1088935853279;44.915,97;6048902456546;49.279,97;52704678074
2020-06-19;47.096,29;7908563285709;49.350,24;8187120537190;45.214,46;11832759618999;48.894,74;2687038063096;75.558,45;1098241826226;45.283,16;6103666867400;49.693,80;53107538113
2020-06-20;47.096,29;7908563285709;49.350,24;8187120537190;45.214,46;11832759618999;48.894,74;2687038063096;75.558,45;1098241826226;45.283,16;6103666867400;49.693,80;53107538113
2020-06-21;47.096,29;7908563285709;49.350,24;8187120537190;45.214,46;11832759618999;48.894,74;2687038063096;75.558,45;1098241826226;45.283,16;6103666867400;49.693,80;53107538113
2020-06-22;47.529,70;7611005620617;49.854,94;7856075477912;45.603,02;11337406548707;49.379,75;2621491397105;76.325,31;1072958880232;45.737,97;6109708494254;50.168,94;52310612559
2020-06-23;47.390,96;7340959529205;49.678,33;7451608265660;45.462,02;10705987914623;49.186,81;2544851267805;76.024,00;1045406014792;45.576,66;5800490160047;49.988,50;51130915112
2020-06-24;47.455,25;7155400099120;49.752,57;7333067927415;45.513,92;10433018391736;49.240,84;2495918284356;76.126,97;1042339701976;45.659,63;5748397943984;50.045,22;50213103254
2020-06-25;47.423,20;7069505012959;49.709,63;7295096280823;45.502,12;10164865780139;49.209,14;2441663105042;76.070,24;1039992783458;45.623,23;5728870681355;50.019,19;49085636042
2020-06-26;47.518,58;7065943645261;49.802,18;7292310805967;45.608,95;10156480509177;49.285,17;2393526297214;76.232,16;1041609651983;45.744,10;5737955924408;50.092,41;48219936462
2020-06-27;47.518,58;7065943645261;49.802,18;7292310805967;45.608,95;10156480509177;49.285,17;2393526297214;76.232,16;1041609651983;45.744,10;5737955924408;50.092,41;48219936462
2020-06-28;47.518,58;7065943645261;49.802,18;7292310805967;45.608,95;10156480509177;49.285,17;2393526297214;76.232,16;1041609651983;45.744,10;5737955924408;50.092,41;48219936462
2020-06-29;47.518,58;7065943645261;49.802,18;7292310805967;45.608,95;10156480509177;49.285,17;2393526297214;76.232,16;1041609651983;45.744,10;5737955924408;50.092,41;48219936462
2020-06-30;47.454,98;7048994366143;49.701,05;7273993578862;45.541,82;10130199438548;49.147,18;2377046116779;76.078,47;1039276985783;45.657,20;5722494374183;50.003,61;46963297685
2020-07-01;47.395,56;7044643644356;49.620,77;7263245035507;45.428,95;10107764159928;49.098,61;2369971874673;75.923,56;1038735807104;45.555,20;5694887342675;49.954,77;49180281355
2020-07-02;47.484,84;7051529053080;49.714,15;7272395766158;45.518,78;10118656664805;49.166,40;2372838768713;76.084,85;1040883532269;45.666,62;5705464400880;50.042,59;49383974736
2020-07-03;47.434,52;7039780559442;49.647,29;7262884100246;45.445,25;10099438665254;49.103,74;2370314677075;75.959,52;1039091015616;45.588,86;5696185100311;50.004,22;49182611077
